date,time,mq2_adc,mq2_rs,mq2_ratio,mq2_ppm,mq135_adc,mq135_rs,mq135_ratio,mq135_ppm,mq7_adc,mq7_rs,mq7_ratio,mq7_ppm,label
2026-03-25,06:47:24,,,,,,,,,,,,,0
2026-03-25,06:47:26,,,,,,,,,,,,,0
2026-03-25,06:47:28,,,,,,,,,,,,,0
2026-03-25,06:47:30,,,,,,,,,,,,,0
2026-03-25,06:47:32,,,,,,,,,,,,,0
2026-03-25,06:47:34,,,,,,,,,,,,,0
2026-03-25,06:45:00,1000,15000.5,1.2,50.5,1100,16000.5,1.3,55.5,1200,17000.5,1.4,60.5,2
2026-03-25,06:47:36,,,,,,,,,,,,,0
2026-03-25,06:47:38,,,,,,,,,,,,,0
2026-03-25,06:47:40,,,,,,,,,,,,,0
2026-03-25,06:47:42,,,,,,,,,,,,,0
2026-03-25,06:55:26,400,184750.0,15.84,0.0,2649,10917.33,0.91,1.81,250,307600.0,27.96,0.0,2
2026-03-25,06:55:29,419,175465.41,15.05,0.0,2650,10905.66,0.91,1.81,257,298677.03,27.15,0.0,2
2026-03-25,06:55:31,399,185263.17,15.89,0.0,2632,11117.02,0.93,1.74,248,310241.94,28.2,0.0,2
2026-03-25,06:55:33,405,182222.22,15.63,0.0,2633,11105.2,0.93,1.75,266,287894.75,26.17,0.0,2
2026-03-25,06:55:35,400,184750.0,15.84,0.0,2659,10801.05,0.9,1.85,416,176875.0,16.08,0.0,2
2026-03-25,06:55:37,434,168709.69,14.47,0.01,2710,10221.4,0.85,2.08,400,184750.0,16.8,0.0,2
2026-03-25,06:55:39,421,174536.81,14.97,0.0,2674,10628.27,0.89,1.92,361,206869.8,18.81,0.0,2
2026-03-25,06:55:41,451,161596.45,13.86,0.01,2709,10232.56,0.85,2.08,368,202554.36,18.41,0.0,2
2026-03-25,06:55:43,420,175000.0,15.01,0.0,2674,10628.27,0.89,1.92,403,183225.81,16.66,0.0,2
2026-03-25,06:55:45,452,161194.69,13.82,0.01,2715,10165.75,0.85,2.11,395,187341.77,17.03,0.0,2
2026-03-25,06:55:47,433,169145.5,14.51,0.0,2687,10480.09,0.87,1.97,337,223026.7,20.28,0.0,2
2026-03-25,06:55:49,453,160794.7,13.79,0.01,2740,9890.51,0.82,2.23,338,222307.7,20.21,0.0,2
2026-03-25,06:55:51,443,164875.84,14.14,0.01,2742,9868.71,0.82,2.24,330,228181.81,20.74,0.0,2
2026-03-25,06:55:53,452,161194.69,13.82,0.01,2725,10055.04,0.84,2.16,330,228181.81,20.74,0.0,2
2026-03-25,06:55:55,423,173617.03,14.89,0.0,2687,10480.09,0.87,1.97,306,247647.06,22.51,0.0,2
2026-03-25,06:55:57,441,165714.28,14.21,0.01,2704,10288.46,0.86,2.05,304,249407.89,22.67,0.0,2
2026-03-25,06:55:59,413,178305.09,15.29,0.0,2669,10685.65,0.89,1.89,291,261443.31,23.77,0.0,2
2026-03-25,06:56:01,414,177826.09,15.25,0.0,2656,10835.84,0.9,1.84,279,273548.41,24.87,0.0,2
2026-03-25,06:56:03,431,170023.2,14.58,0.0,2692,10423.48,0.87,2.0,288,264375.0,24.03,0.0,2
2026-03-25,06:56:05,407,181228.5,15.54,0.0,2662,10766.34,0.9,1.86,270,283333.34,25.76,0.0,2
2026-03-25,06:56:07,417,176402.87,15.13,0.0,2704,10288.46,0.86,2.05,277,275667.87,25.06,0.0,2
2026-03-25,06:56:09,427,171803.28,14.73,0.0,2647,10940.69,0.91,1.8,272,281102.94,25.55,0.0,2
2026-03-25,06:56:11,439,166560.36,14.28,0.01,2682,10536.91,0.88,1.95,290,262413.78,23.86,0.0,2
2026-03-25,06:56:13,417,176402.87,15.13,0.0,2664,10743.24,0.9,1.87,275,277818.19,25.26,0.0,2
2026-03-25,06:56:15,442,165294.12,14.18,0.01,2693,10412.18,0.87,2.0,287,265365.84,24.12,0.0,2
2026-03-25,06:56:17,421,174536.81,14.97,0.0,2643,10987.51,0.92,1.79,278,274604.31,24.96,0.0,2
2026-03-25,06:56:19,433,169145.5,14.51,0.0,2676,10605.38,0.88,1.92,277,275667.87,25.06,0.0,2
2026-03-25,06:56:21,417,176402.87,15.13,0.0,2695,10389.61,0.87,2.01,273,280000.0,25.45,0.0,2
2026-03-25,06:56:23,432,169583.33,14.54,0.0,2677,10593.95,0.88,1.93,272,281102.94,25.55,0.0,2
2026-03-25,06:56:25,417,176402.87,15.13,0.0,2640,11022.73,0.92,1.77,257,298677.03,27.15,0.0,2
2026-03-25,06:56:27,415,177349.39,15.21,0.0,2681,10548.3,0.88,1.95,269,284460.97,25.86,0.0,2
2026-03-25,06:56:29,404,182722.78,15.67,0.0,2636,11069.8,0.92,1.76,253,303715.41,27.61,0.0,2
2026-03-25,06:56:31,410,179756.09,15.42,0.0,2672,10651.2,0.89,1.91,260,295000.0,26.82,0.0,2
2026-03-25,06:56:33,398,185778.91,15.93,0.0,2630,11140.69,0.93,1.73,253,303715.41,27.61,0.0,2
2026-03-25,06:56:35,393,188396.95,16.16,0.0,2629,11152.53,0.93,1.73,251,306294.81,27.84,0.0,2
2026-03-25,06:56:37,400,184750.0,15.84,0.0,2655,10847.46,0.9,1.83,266,287894.75,26.17,0.0,2
2026-03-25,06:56:39,401,184239.41,15.8,0.0,2672,10651.2,0.89,1.91,266,287894.75,26.17,0.0,2
2026-03-25,06:56:41,423,173617.03,14.89,0.0,2667,10708.66,0.89,1.89,269,284460.97,25.86,0.0,2
2026-03-25,06:56:43,400,184750.0,15.84,0.0,2624,11211.89,0.93,1.71,250,307600.0,27.96,0.0,2
2026-03-25,06:56:45,399,185263.17,15.89,0.0,2645,10964.08,0.91,1.79,259,296216.22,26.93,0.0,2
2026-03-25,06:56:47,395,187341.77,16.07,0.0,2598,11524.25,0.96,1.61,251,306294.81,27.84,0.0,2
2026-03-25,06:56:49,416,176875.0,15.17,0.0,2653,10870.71,0.91,1.83,261,293793.09,26.71,0.0,2
2026-03-25,06:56:51,378,196666.67,16.87,0.0,2606,11427.47,0.95,1.64,249,308915.69,28.08,0.0,2
2026-03-25,06:56:53,414,177826.09,15.25,0.0,2635,11081.6,0.92,1.75,266,287894.75,26.17,0.0,2
2026-03-25,06:56:55,400,184750.0,15.84,0.0,2599,11512.12,0.96,1.62,246,312926.84,28.45,0.0,2
2026-03-25,06:56:57,405,182222.22,15.63,0.0,2634,11093.4,0.92,1.75,264,290227.28,26.38,0.0,2
2026-03-25,06:56:59,413,178305.09,15.29,0.0,2643,10987.51,0.92,1.79,259,296216.22,26.93,0.0,2
2026-03-25,06:57:01,403,183225.81,15.71,0.0,2642,10999.24,0.92,1.78,256,299921.87,27.27,0.0,2
2026-03-25,06:57:03,400,184750.0,15.84,0.0,2591,11609.42,0.97,1.59,249,308915.69,28.08,0.0,2
2026-03-25,06:57:05,400,184750.0,15.84,0.0,2591,11609.42,0.97,1.59,245,314285.72,28.57,0.0,2
2026-03-25,06:57:07,389,190539.86,16.34,0.0,2594,11572.86,0.96,1.6,253,303715.41,27.61,0.0,2
2026-03-25,06:57:09,388,191082.48,16.39,0.0,2596,11548.54,0.96,1.61,249,308915.69,28.08,0.0,2
2026-03-25,06:57:11,400,184750.0,15.84,0.0,2585,11682.79,0.97,1.57,242,318429.75,28.95,0.0,2
2026-03-25,06:57:13,380,195526.31,16.77,0.0,2601,11487.89,0.96,1.62,243,317037.03,28.82,0.0,2
2026-03-25,06:57:15,401,184239.41,15.8,0.0,2634,11093.4,0.92,1.75,258,297441.88,27.04,0.0,2
2026-03-25,06:57:17,388,191082.48,16.39,0.0,2599,11512.12,0.96,1.62,251,306294.81,27.84,0.0,2
2026-03-25,06:57:19,388,191082.48,16.39,0.0,2615,11319.31,0.94,1.68,254,302440.97,27.49,0.0,2
2026-03-25,06:57:21,385,192727.27,16.53,0.0,2581,11731.89,0.98,1.55,242,318429.75,28.95,0.0,2
2026-03-25,06:57:23,410,179756.09,15.42,0.0,2635,11081.6,0.92,1.75,262,292595.41,26.6,0.0,2
2026-03-25,06:57:25,400,184750.0,15.84,0.0,2585,11682.79,0.97,1.57,250,307600.0,27.96,0.0,2
2026-03-25,06:57:27,400,184750.0,15.84,0.0,2630,11140.69,0.93,1.73,254,302440.97,27.49,0.0,2
2026-03-25,06:57:29,395,187341.77,16.07,0.0,2559,12004.69,1.0,1.48,250,307600.0,27.96,0.0,2
2026-03-25,06:57:31,405,182222.22,15.63,0.0,2626,11188.12,0.93,1.72,261,293793.09,26.71,0.0,2
2026-03-25,06:57:33,400,184750.0,15.84,0.0,2559,12004.69,1.0,1.48,245,314285.72,28.57,0.0,2
2026-03-25,06:57:35,415,177349.39,15.21,0.0,2622,11235.7,0.94,1.7,255,301176.47,27.38,0.0,2
2026-03-25,06:57:37,385,192727.27,16.53,0.0,2586,11670.53,0.97,1.57,247,311578.94,28.33,0.0,2
2026-03-25,06:57:39,389,190539.86,16.34,0.0,2583,11707.32,0.98,1.56,242,318429.75,28.95,0.0,2
2026-03-25,06:57:41,387,191627.91,16.43,0.0,2593,11585.04,0.97,1.59,241,319834.03,29.08,0.0,2
2026-03-25,06:57:43,393,188396.95,16.16,0.0,2592,11597.22,0.97,1.59,256,299921.87,27.27,0.0,2
2026-03-25,06:57:45,401,184239.41,15.8,0.0,2621,11247.62,0.94,1.7,264,290227.28,26.38,0.0,2
2026-03-25,06:57:47,397,186297.23,15.98,0.0,2594,11572.86,0.96,1.6,253,303715.41,27.61,0.0,2
2026-03-25,06:57:49,409,180244.5,15.46,0.0,2623,11223.79,0.94,1.71,266,287894.75,26.17,0.0,2
2026-03-25,06:57:51,405,182222.22,15.63,0.0,2592,11597.22,0.97,1.59,247,311578.94,28.33,0.0,2
2026-03-25,06:57:53,399,185263.17,15.89,0.0,2629,11152.53,0.93,1.73,263,291406.84,26.49,0.0,2
2026-03-25,06:57:55,413,178305.09,15.29,0.0,2625,11200.0,0.93,1.71,262,292595.41,26.6,0.0,2
2026-03-25,06:57:57,417,176402.87,15.13,0.0,2622,11235.7,0.94,1.7,253,303715.41,27.61,0.0,2
2026-03-25,06:57:59,400,184750.0,15.84,0.0,2624,11211.89,0.93,1.71,263,291406.84,26.49,0.0,2
2026-03-25,06:58:01,406,181724.14,15.59,0.0,2641,11010.98,0.92,1.78,258,297441.88,27.04,0.0,2
2026-03-25,06:58:03,403,183225.81,15.71,0.0,2640,11022.73,0.92,1.77,251,306294.81,27.84,0.0,2
2026-03-25,06:58:05,410,179756.09,15.42,0.0,2643,10987.51,0.92,1.79,261,293793.09,26.71,0.0,2
2026-03-25,06:58:07,394,187868.03,16.11,0.0,2644,10975.79,0.91,1.79,256,299921.87,27.27,0.0,2
2026-03-25,06:58:09,393,188396.95,16.16,0.0,2645,10964.08,0.91,1.79,265,289056.59,26.28,0.0,2
2026-03-25,06:58:11,397,186297.23,15.98,0.0,2592,11597.22,0.97,1.59,245,314285.72,28.57,0.0,2
2026-03-25,06:58:13,384,193281.27,16.58,0.0,2586,11670.53,0.97,1.57,243,317037.03,28.82,0.0,2
2026-03-25,06:58:15,396,186818.17,16.02,0.0,2559,12004.69,1.0,1.48,242,318429.75,28.95,0.0,2
2026-03-25,06:58:17,385,192727.27,16.53,0.0,2559,12004.69,1.0,1.48,247,311578.94,28.33,0.0,2
2026-03-25,06:58:19,400,184750.0,15.84,0.0,2607,11415.42,0.95,1.65,259,296216.22,26.93,0.0,2
2026-03-25,06:58:21,379,196095.0,16.82,0.0,2559,12004.69,1.0,1.48,252,305000.0,27.73,0.0,2
2026-03-25,06:58:23,400,184750.0,15.84,0.0,2614,11331.29,0.94,1.67,262,292595.41,26.6,0.0,2
2026-03-25,06:58:25,390,190000.0,16.3,0.0,2559,12004.69,1.0,1.48,254,302440.97,27.49,0.0,2
2026-03-25,06:58:27,394,187868.03,16.11,0.0,2619,11271.48,0.94,1.69,263,291406.84,26.49,0.0,2
2026-03-25,06:58:29,379,196095.0,16.82,0.0,2559,12004.69,1.0,1.48,245,314285.72,28.57,0.0,2
2026-03-25,06:58:31,404,182722.78,15.67,0.0,2626,11188.12,0.93,1.72,287,265365.84,24.12,0.0,2
2026-03-25,06:58:33,400,184750.0,15.84,0.0,2559,12004.69,1.0,1.48,279,273548.41,24.87,0.0,2
2026-03-25,06:58:35,397,186297.23,15.98,0.0,2581,11731.89,0.98,1.55,262,292595.41,26.6,0.0,2
2026-03-25,06:58:37,382,194397.91,16.67,0.0,2586,11670.53,0.97,1.57,253,303715.41,27.61,0.0,2
2026-03-25,06:58:39,394,187868.03,16.11,0.0,2601,11487.89,0.96,1.62,259,296216.22,26.93,0.0,2
2026-03-25,06:58:41,395,187341.77,16.07,0.0,2608,11403.37,0.95,1.65,260,295000.0,26.82,0.0,2
2026-03-25,06:58:43,402,183731.34,15.76,0.0,2559,12004.69,1.0,1.48,245,314285.72,28.57,0.0,2
2026-03-25,06:58:45,398,185778.91,15.93,0.0,2559,12004.69,1.0,1.48,263,291406.84,26.49,0.0,2
2026-03-25,06:58:47,402,183731.34,15.76,0.0,2591,11609.42,0.97,1.59,267,286741.56,26.07,0.0,2
2026-03-25,06:58:49,402,183731.34,15.76,0.0,2559,12004.69,1.0,1.48,261,293793.09,26.71,0.0,2
2026-03-25,06:58:51,394,187868.03,16.11,0.0,2559,12004.69,1.0,1.48,256,299921.87,27.27,0.0,2
2026-03-25,06:58:53,414,177826.09,15.25,0.0,2606,11427.47,0.95,1.64,255,301176.47,27.38,0.0,2
2026-03-25,06:58:55,379,196095.0,16.82,0.0,2554,12067.35,1.01,1.46,243,317037.03,28.82,0.0,2
2026-03-25,06:58:57,403,183225.81,15.71,0.0,2605,11439.54,0.95,1.64,254,302440.97,27.49,0.0,2
2026-03-25,06:58:59,393,188396.95,16.16,0.0,2558,12017.2,1.0,1.48,1715,27755.1,2.52,0.21,2
2026-03-25,06:59:01,406,181724.14,15.59,0.0,2609,11391.34,0.95,1.65,1481,35300.47,3.21,0.12,2
2026-03-25,06:59:03,400,184750.0,15.84,0.0,2551,12105.06,1.01,1.45,1138,51968.36,4.72,0.05,2
2026-03-25,06:59:05,401,184239.41,15.8,0.0,2599,11512.12,0.96,1.62,950,66210.52,6.02,0.03,2
2026-03-25,06:59:07,410,179756.09,15.42,0.0,2559,12004.69,1.0,1.48,780,85000.0,7.73,0.02,2
2026-03-25,06:59:09,413,178305.09,15.29,0.0,2629,11152.53,0.93,1.73,705,96170.21,8.74,0.01,2
2026-03-25,06:59:11,400,184750.0,15.84,0.0,2599,11512.12,0.96,1.62,618,112524.27,10.23,0.01,2
2026-03-25,06:59:13,400,184750.0,15.84,0.0,2640,11022.73,0.92,1.77,571,123432.58,11.22,0.01,2
2026-03-25,06:59:15,405,182222.22,15.63,0.0,2621,11247.62,0.94,1.7,502,143147.41,13.01,0.01,2
2026-03-25,06:59:17,405,182222.22,15.63,0.0,2638,11046.25,0.92,1.76,455,160000.0,14.55,0.0,2
2026-03-25,06:59:19,415,177349.39,15.21,0.0,2666,10720.18,0.89,1.88,432,169583.33,15.42,0.0,2
2026-03-25,06:59:21,422,174075.83,14.93,0.0,2678,10582.53,0.88,1.93,427,171803.28,15.62,0.0,2
2026-03-25,06:59:23,414,177826.09,15.25,0.0,2672,10651.2,0.89,1.91,395,187341.77,17.03,0.0,2
2026-03-25,06:59:25,413,178305.09,15.29,0.0,2669,10685.65,0.89,1.89,375,198399.98,18.04,0.0,2
2026-03-25,06:59:27,400,184750.0,15.84,0.0,2687,10480.09,0.87,1.97,377,197241.37,17.93,0.0,2
2026-03-25,06:59:29,409,180244.5,15.46,0.0,2704,10288.46,0.86,2.05,384,193281.27,17.57,0.0,2
2026-03-25,06:59:31,417,176402.87,15.13,0.0,2683,10525.53,0.88,1.96,366,203770.48,18.52,0.0,2
2026-03-25,06:59:33,396,186818.17,16.02,0.0,3536,3161.76,0.26,25.27,4095,0.0,0.0,1.9904450407694336e+16,2
2026-03-25,06:59:35,464,156508.61,13.42,0.01,4095,0.0,0.0,2.395248929642906e+16,3200,5593.75,0.51,6.24,2
2026-03-25,06:59:37,560,126250.0,10.83,0.01,4095,0.0,0.0,2.395248929642906e+16,2627,11176.25,1.02,1.43,2
2026-03-25,06:59:39,715,94545.45,8.11,0.02,4095,0.0,0.0,2.395248929642906e+16,2205,17142.86,1.56,0.58,2
2026-03-25,06:59:41,781,84865.55,7.28,0.02,4095,0.0,0.0,2.395248929642906e+16,1770,26271.19,2.39,0.23,2
2026-03-25,06:59:43,678,100796.46,8.64,0.02,4095,0.0,0.0,2.395248929642906e+16,1569,32198.85,2.93,0.15,2
2026-03-25,06:59:45,600,116500.0,9.99,0.01,3974,608.96,0.05,840.75,1308,42614.68,3.87,0.08,2
2026-03-25,06:59:47,575,122434.78,10.5,0.01,3840,1328.12,0.11,160.0,1145,51528.39,4.68,0.06,2
2026-03-25,06:59:49,553,128101.27,10.99,0.01,3621,2618.06,0.22,37.76,966,64782.61,5.89,0.03,2
2026-03-25,06:59:51,525,136000.0,11.66,0.01,3543,3116.0,0.26,26.07,875,73600.0,6.69,0.03,2
2026-03-25,06:59:53,501,143473.05,12.3,0.01,3456,3697.92,0.31,18.11,799,82503.13,7.5,0.02,2
2026-03-25,06:59:55,490,147142.86,12.62,0.01,3351,4440.47,0.37,12.27,752,88909.57,8.08,0.02,2
2026-03-25,06:59:57,511,140273.97,12.03,0.01,3345,4484.31,0.37,12.02,707,95841.59,8.71,0.01,2
2026-03-25,06:59:59,525,136000.0,11.66,0.01,3235,5316.85,0.44,8.36,637,108571.43,9.87,0.01,2
2026-03-25,07:00:01,511,140273.97,12.03,0.01,3225,5395.35,0.45,8.11,615,113170.73,10.29,0.01,2
2026-03-25,07:00:03,467,155374.73,13.33,0.01,3131,6157.78,0.51,6.12,563,125470.69,11.41,0.01,2
2026-03-25,07:00:05,464,156508.61,13.42,0.01,3119,6258.42,0.52,5.91,555,127567.57,11.6,0.01,2
2026-03-25,07:00:07,456,159605.27,13.69,0.01,3033,7002.97,0.58,4.65,511,140273.97,12.75,0.01,2
2026-03-25,07:00:09,452,161194.69,13.82,0.01,3041,6931.93,0.58,4.76,509,140903.73,12.81,0.01,2
2026-03-25,07:00:11,442,165294.12,14.18,0.01,2970,7575.76,0.63,3.94,474,152784.8,13.89,0.01,2
2026-03-25,07:00:13,458,158820.97,13.62,0.01,3004,7263.65,0.61,4.31,475,152421.05,13.86,0.01,2
